iter	Logloss
628	0.2265532616
629	0.2264995336
630	0.2263280108
631	0.2262679074
632	0.226226431
633	0.2261817501
634	0.2261199289
635	0.2260825067
636	0.2260272402
637	0.2259688092
638	0.2258763187
639	0.2258749285
640	0.2258162684
641	0.2256831077
642	0.2255640525
643	0.2254465728
644	0.2253396194
645	0.2252736857
646	0.2251587741
647	0.2250947145
648	0.2250655592
649	0.2250461292
650	0.2249513204
651	0.22484951
652	0.2248261885
653	0.2247572782
654	0.2246730748
655	0.2245884313
656	0.2245529255
657	0.224535038
658	0.2245108755
659	0.224498659
660	0.2244357734
661	0.2243758621
662	0.2243688443
663	0.2242729738
664	0.2241970142
665	0.2241184623
666	0.2240330122
667	0.224012364
668	0.2239767001
669	0.2239147414
670	0.2238629285
671	0.2238064315
672	0.2237037891
673	0.223590254
674	0.2234751393
675	0.2234373846
676	0.2233848459
677	0.2233334307
678	0.2232992092
679	0.2232247451
680	0.2231642863
681	0.2231382536
682	0.22307727
683	0.2230607949
684	0.2230386261
685	0.2230255445
686	0.2229761405
687	0.2229069216
688	0.222806609
689	0.2227274445
690	0.2227024696
691	0.2225898254
692	0.2225762822
693	0.2225584693
694	0.222510061
695	0.2224767519
696	0.2223823707
697	0.222295248
698	0.222203863
699	0.2221495232
700	0.2221175148
701	0.2220688744
702	0.2219908493
703	0.2219478465
704	0.2218579736
705	0.2217765816
706	0.2216842113
707	0.221567428
708	0.2214577217
709	0.2214385793
710	0.221337604
711	0.2212399969
712	0.221177457
713	0.2211385874
714	0.2211042523
715	0.2210634685
716	0.2209240618
717	0.2208554135
718	0.2207460752
719	0.2206781589
720	0.2206572847
721	0.220562841
722	0.2205349358
723	0.2204940495
724	0.2204217724
725	0.2203124903
726	0.220144107
727	0.2200812843
728	0.2200043583
729	0.2199251972
730	0.2198726904
731	0.2198162516
732	0.219790665
733	0.2197365728
734	0.2195787147
735	0.2194819153
736	0.2193765083
737	0.2193556341
738	0.2193482479
739	0.2193248534
740	0.2192948838
741	0.2191896266
742	0.2191321947
743	0.2190630599
744	0.219051706
745	0.2190019731
746	0.2189648045
747	0.2189436988
748	0.2189091413
749	0.2188357302
750	0.2188042035
751	0.218687719
752	0.2186250286
753	0.2185205456
754	0.2184659951
755	0.218379411
756	0.2182075567
757	0.2181375918
758	0.2180564638
759	0.2179962018
760	0.2179604083
761	0.2178954873
762	0.2178409124
763	0.217772196
764	0.2177591462
765	0.2176309854
766	0.217522743
767	0.2174813698
768	0.2174321989
769	0.2173061522
770	0.21721529
771	0.2171024124
772	0.2170030251
773	0.2169800031
774	0.2169408502
775	0.2168920437
776	0.2168721353
777	0.2168025429
778	0.216682901
779	0.2166152007
780	0.2166087531
781	0.2165749826
782	0.2164748104
783	0.2164498519
784	0.2163607231
785	0.2163317107
786	0.2162106626
787	0.216109642
788	0.2159997741
789	0.2159552219
790	0.2159021965
791	0.2158968125
792	0.2158422903
793	0.2158044146
794	0.2157736471
795	0.2157133147
796	0.2156594323
797	0.2156168439
798	0.2155865816
799	0.2155360271
800	0.2154594308
801	0.2154250125
802	0.2154104737
803	0.2153551489
804	0.2153362663
805	0.2153076441
806	0.2152424768
807	0.2151322758
808	0.2151145776
809	0.21507624
810	0.2150178299
811	0.2149931678
812	0.2149079555
813	0.214804051
814	0.2147681185
815	0.2147376531
816	0.2147244068
817	0.2147101007
818	0.2146623388
819	0.2146203696
820	0.2145959533
821	0.2145539187
822	0.2145200398
823	0.214489694
824	0.2144659327
825	0.2143927048
826	0.2143438441
827	0.2143229041
828	0.2142474575
829	0.2141667486
830	0.2141613383
831	0.2140207957
